c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,obj
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00988536,-0.00950047,-0.561,3880080,-34.5,0.4479,0.19692,1.00E+20
0,0,0,1,0.00177477,-0.00646919,-0.513,1732390,1,-0.353536,-0.0178531,1.00E+20
0,0,0,1,-0.001036,-0.00843418,-0.546,2910150,-166.5,0.08596,0.0387657,1.00E+20
0,0,0,1,-0.00268371,-0.00831269,-0.487,1.8,-447,0.04172,-0.0232831,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00501735,-0.00792125,-0.515667,5858630,1,1.18622,0.893184,1.00E+20
0,1,0,1,-0.00767182,-0.00669235,-0.521,1.65,-491,0.20285,0.0677413,1.00E+20
0,0,0,1,0.00481991,-0.00751983,-0.467333,3356850,1,0.25265,0.141844,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00924445,-0.00844239,-0.571,14942800,1,4.57609,1.26202,1.00E+20
0,1,0,1,-0.010101,-0.00809883,-0.59,-0.525,-3215,-0.338723,-0.247545,-21798400
0,0,0,1,0.0356706,-0.00633666,-0.439667,6720500,1,1.50784,0.988662,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,0.00377824,-0.00579966,0.138667,113047000,1,41.1848,8.64363,1.00E+20
0,0,0,1,-0.00270018,-0.0034116,-0.490333,1.275,-558,0.82671,-0.0632863,1.00E+20
0,1,0,1,-0.00882111,-0.010101,-0.313667,1962220000,1,731.228,133.895,1.00E+20
0,1,0,1,-0.00923136,-0.010101,-0.547333,0.35,-1052,0.08667,-0.0367795,-5584860
0,1,0,1,-0.00878191,-0.00859308,-0.0196667,53918900000,1,20119.5,3647.19,1.00E+20
